ensembl_id,log2FC,padj,comp_name
ENSG00000135919,1.088,1.27901214773474e-90,ENSG00000135919_amide
ENSG00000017797,1.991,1.5931203038414e-89,ENSG00000017797_amide
ENSG00000112308,1.047,4.36005983538554e-71,ENSG00000112308_amide
ENSG00000152952,1.109,6.10157012148843e-69,ENSG00000152952_amide
ENSG00000101935,1.201,2.18781249727749e-68,ENSG00000101935_amide
ENSG00000151414,0.931,3.95391273343835e-66,ENSG00000151414_amide
ENSG00000069956,-1.05,2.0636272577072e-52,ENSG00000069956_amide
ENSG00000115170,-1.292,2.83946977321162e-48,ENSG00000115170_amide
ENSG00000165832,1.653,4.1329751596826095e-42,ENSG00000165832_amide
ENSG00000173674,1.221,1.16541427437488e-41,ENSG00000173674_amide
ENSG00000153904,1.157,1.26364824694893e-41,ENSG00000153904_amide
ENSG00000143514,1.12,1.6747579451830198e-40,ENSG00000143514_amide
ENSG00000116138,-1.152,2.04734979804674e-38,ENSG00000116138_amide
ENSG00000069869,0.984,6.14574103753793e-38,ENSG00000069869_amide
ENSG00000165156,1.095,6.6959360434368e-38,ENSG00000165156_amide
ENSG00000025800,0.667,2.32880930742193e-37,ENSG00000025800_amide
ENSG00000177119,-0.832,5.897209900322139e-36,ENSG00000177119_amide
ENSG00000152291,0.854,2.6418928462121803e-35,ENSG00000152291_amide
ENSG00000136485,0.926,6.97877691851628e-35,ENSG00000136485_amide
ENSG00000102158,0.769,9.72441205732314e-34,ENSG00000102158_amide
ENSG00000205336,0.674,1.41200915925092e-28,ENSG00000205336_amide
ENSG00000101974,0.883,2.69530403998843e-28,ENSG00000101974_amide
ENSG00000094975,0.855,1.27305183361697e-27,ENSG00000094975_amide
ENSG00000130147,0.948,6.77673129293481e-27,ENSG00000130147_amide
ENSG00000083642,0.766,7.21086275770927e-27,ENSG00000083642_amide
ENSG00000162704,1.011,7.21086275770927e-27,ENSG00000162704_amide
ENSG00000196642,0.936,1.01794055264592e-26,ENSG00000196642_amide
ENSG00000009335,0.778,1.04823914254811e-26,ENSG00000009335_amide
ENSG00000118900,0.886,1.27846801691357e-26,ENSG00000118900_amide
ENSG00000112697,0.727,1.8663393991579002e-26,ENSG00000112697_amide
ENSG00000111145,0.758,2.31347730077066e-26,ENSG00000111145_amide
ENSG00000136261,0.972,3.02042725561182e-26,ENSG00000136261_amide
ENSG00000165102,-0.972,6.42859889476046e-26,ENSG00000165102_amide
ENSG00000058272,0.7,4.49786594287291e-25,ENSG00000058272_amide
ENSG00000197147,1.225,5.42099395186803e-25,ENSG00000197147_amide
ENSG00000147202,0.981,6.37780822573245e-25,ENSG00000147202_amide
ENSG00000123091,-0.8,7.31657855702951e-25,ENSG00000123091_amide
ENSG00000011198,-0.81,1.89442574207797e-24,ENSG00000011198_amide
ENSG00000108691,0.672,2.8118815446266996e-23,ENSG00000108691_amide
ENSG00000090905,-0.574,1.0021388861459899e-22,ENSG00000090905_amide
ENSG00000070814,0.802,1.88623028453807e-22,ENSG00000070814_amide
ENSG00000137713,1.287,2.67533229362366e-22,ENSG00000137713_amide
ENSG00000082153,0.738,6.124052497004529e-22,ENSG00000082153_amide
ENSG00000136244,0.644,1.13253622945111e-21,ENSG00000136244_amide
ENSG00000051382,-1.327,1.42237383232504e-21,ENSG00000051382_amide
ENSG00000102189,0.785,1.82093028819236e-21,ENSG00000102189_amide
ENSG00000247556,0.624,1.824769495631e-21,ENSG00000247556_amide
ENSG00000150938,0.552,2.51740110720942e-21,ENSG00000150938_amide
ENSG00000106683,-0.63,2.95325058222343e-21,ENSG00000106683_amide
ENSG00000147649,0.591,1.0377435682784701e-20,ENSG00000147649_amide
ENSG00000114166,1.179,1.0377435682784701e-20,ENSG00000114166_amide
ENSG00000137965,0.838,2.6764762010513302e-20,ENSG00000137965_amide
ENSG00000165476,0.626,1.35720493045763e-19,ENSG00000165476_amide
