ensembl_id,log2FC,padj
ENSG00000135919,1.218,1.36423399537465e-114
ENSG00000017797,2.118,1.58343782505564e-102
ENSG00000152952,1.341,2.84592746255413e-102
ENSG00000069869,1.407,8.33012401210816e-80
ENSG00000101935,1.254,4.98550592816479e-75
ENSG00000102158,1.087,4.52037616435825e-69
ENSG00000136244,1.103,2.64140799784059e-65
ENSG00000153250,0.871,2.85104426048555e-63
ENSG00000112308,0.987,3.4625317613781e-63
ENSG00000073756,1.036,8.99345085998478e-55
ENSG00000143514,1.274,3.50971129875576e-53
ENSG00000151414,0.783,2.88265074421091e-46
ENSG00000165156,1.199,7.34848368019949e-46
ENSG00000169429,1.301,1.94607661234208e-45
ENSG00000152291,0.932,4.00932987501622e-42
ENSG00000147649,0.790,4.12427792617906e-37
ENSG00000101974,0.993,3.74954139337006e-36
ENSG00000173674,1.138,5.18100715768071e-36
ENSG00000111145,0.868,6.35701551936612e-35
ENSG00000165832,1.494,4.92432737260152e-34
ENSG00000025800,0.638,5.25291789524536e-34
ENSG00000162704,1.123,4.20755639399751e-33
ENSG00000087502,0.884,1.24794547897082e-32
ENSG00000082153,0.900,1.62321436004318e-32
ENSG00000118900,0.969,5.45215580031704e-32
ENSG00000172572,0.557,3.93242016369424e-31
ENSG00000115977,0.874,2.04778113777596e-30
ENSG00000159873,0.850,2.63839564577942e-30
ENSG00000132002,0.598,6.83312734725846e-30
ENSG00000114166,1.404,7.42855503855363e-30
ENSG00000170540,0.686,7.42855503855363e-30
ENSG00000131747,0.949,8.74271523444902e-30
ENSG00000247556,0.732,1.3915265274686e-29
ENSG00000130147,0.989,2.30090549054852e-29
ENSG00000188211,-0.832,3.23137565180655e-29
ENSG00000083642,0.795,3.5255067601864e-29
ENSG00000196642,0.976,4.21716457524765e-29
ENSG00000165476,0.753,1.50315445868765e-28
ENSG00000197312,0.900,2.52660816528559e-28
ENSG00000102189,0.887,1.0672596246296e-27
ENSG00000058272,0.728,3.27842275364502e-27
ENSG00000087086,-0.692,3.41576940914988e-27
ENSG00000003436,0.587,3.70543568018913e-27
ENSG00000115008,1.054,5.44881516720878e-27
ENSG00000135048,0.785,6.40512988668399e-27
ENSG00000136485,0.816,7.14903681240141e-27
ENSG00000106366,0.735,1.206005460191e-26
ENSG00000009335,0.769,4.31508224376951e-26
ENSG00000150938,0.607,8.74992067950465e-26
ENSG00000070814,0.859,9.41819858183815e-26
ENSG00000136381,0.811,1.4156733428411e-25
ENSG00000112096,0.739,1.61750862564761e-25
ENSG00000092853,0.753,4.06265642009924e-25
ENSG00000163739,0.906,1.10632790140978e-24
ENSG00000136261,0.928,8.29017579416237e-24
ENSG00000165244,1.116,1.50021618573374e-23
ENSG00000147862,0.557,2.03127075660364e-23
ENSG00000152127,-0.822,4.49972357678228e-23
ENSG00000137693,0.574,4.85045007827524e-23
ENSG00000147202,0.940,8.46787606333929e-23
ENSG00000172575,-1.492,2.94106823763587e-22
ENSG00000144228,1.159,2.99907372193461e-22
ENSG00000172380,-0.554,3.65544759573586e-22
ENSG00000094975,0.767,3.89052235745019e-22
ENSG00000185900,1.076,4.00090723373555e-22
ENSG00000107566,-0.937,6.07546610443279e-22
ENSG00000167460,0.505,6.1447264370119e-22
ENSG00000163527,0.524,2.05561585474472e-21
ENSG00000065809,0.779,2.17791975650243e-21
ENSG00000179855,0.900,2.22189019908259e-21
ENSG00000178691,0.727,2.47859751989981e-21
ENSG00000023171,0.640,3.71717908789811e-21
ENSG00000108691,0.641,4.26446326609642e-21
ENSG00000165417,0.857,4.57537567229789e-21
ENSG00000155090,0.495,2.01187542724938e-20
ENSG00000150712,0.554,3.58359955370176e-20
ENSG00000141027,0.572,4.71797074953809e-20
ENSG00000197712,0.941,4.87339006869034e-20
ENSG00000164023,0.699,5.82734654368445e-20
ENSG00000137959,-0.886,2.26897961743692e-19
ENSG00000165997,0.707,2.27539753000486e-19
ENSG00000179119,0.772,4.52240038840114e-19
ENSG00000081320,0.950,7.10511338225043e-19
ENSG00000075568,0.643,7.77740412990637e-19
ENSG00000139722,1.043,9.57200384256005e-19
ENSG00000071054,0.700,9.6240011387793e-19
ENSG00000140157,0.669,1.28008168750895e-18
ENSG00000167881,0.794,1.40593064398107e-18
ENSG00000134070,0.594,1.681614448502e-18
ENSG00000064313,0.691,2.0316565506915e-18
ENSG00000142166,0.599,2.11002323664579e-18
ENSG00000180694,-1.028,2.33010236509104e-18
ENSG00000272886,-0.643,2.66839530121518e-18
ENSG00000028203,0.780,5.48585069764735e-18
ENSG00000114573,0.656,6.73290187724936e-18
ENSG00000100422,0.730,7.89499788037578e-18
ENSG00000119396,0.645,8.33387105362654e-18
ENSG00000185215,0.555,1.00526366021458e-17
