ensembl_id,log2FC,padj,comp_name
ENSG00000172380,2.475,0.0,ENSG00000172380_unmod
ENSG00000072274,2.129,7.0831107248058105e-236,ENSG00000072274_unmod
ENSG00000185896,1.576,5.2627870554481105e-151,ENSG00000185896_unmod
ENSG00000165410,1.811,4.38473597983899e-140,ENSG00000165410_unmod
ENSG00000087086,1.412,2.33050214694022e-114,ENSG00000087086_unmod
ENSG00000204217,1.291,2.43407670495618e-103,ENSG00000204217_unmod
ENSG00000017797,-2.076,1.31744442627313e-96,ENSG00000017797_unmod
ENSG00000108561,3.127,2.29612332387501e-95,ENSG00000108561_unmod
ENSG00000115159,1.293,3.36813246681748e-90,ENSG00000115159_unmod
ENSG00000178695,1.24,1.38197995929329e-87,ENSG00000178695_unmod
ENSG00000127314,1.468,6.06853700921852e-87,ENSG00000127314_unmod
ENSG00000180694,2.601,6.03946632895573e-86,ENSG00000180694_unmod
ENSG00000152952,-1.208,1.20073953242519e-81,ENSG00000152952_unmod
ENSG00000138448,1.131,7.07107897235781e-80,ENSG00000138448_unmod
ENSG00000136244,-1.219,1.2815182937179599e-79,ENSG00000136244_unmod
ENSG00000152127,1.594,9.888525352772139e-77,ENSG00000152127_unmod
ENSG00000160213,1.545,5.16929424069394e-73,ENSG00000160213_unmod
ENSG00000069869,-1.346,4.7391436719557e-72,ENSG00000069869_unmod
ENSG00000147065,0.821,6.35313669804362e-70,ENSG00000147065_unmod
ENSG00000169967,1.336,6.43052662528616e-69,ENSG00000169967_unmod
ENSG00000108468,1.31,1.97362256777959e-68,ENSG00000108468_unmod
ENSG00000135919,-0.93,1.65507974312594e-65,ENSG00000135919_unmod
ENSG00000102158,-1.052,7.2132885205668e-64,ENSG00000102158_unmod
ENSG00000188211,1.229,1.53669220828515e-59,ENSG00000188211_unmod
ENSG00000073756,-1.082,1.96912980758925e-59,ENSG00000073756_unmod
ENSG00000101935,-1.107,4.68060711934781e-57,ENSG00000101935_unmod
ENSG00000153250,-0.831,1.90878550173696e-56,ENSG00000153250_unmod
ENSG00000116489,0.727,3.2456275505208598e-55,ENSG00000116489_unmod
ENSG00000139644,0.767,1.81428405939206e-54,ENSG00000139644_unmod
ENSG00000153560,0.898,3.9520137050150404e-54,ENSG00000153560_unmod
ENSG00000079332,0.952,4.29016506656003e-54,ENSG00000079332_unmod
ENSG00000107566,1.527,7.14958271117876e-53,ENSG00000107566_unmod
ENSG00000145545,1.314,8.59632835138508e-53,ENSG00000145545_unmod
ENSG00000092853,-1.083,1.34609716249687e-52,ENSG00000092853_unmod
ENSG00000144681,1.83,1.98496750156633e-51,ENSG00000144681_unmod
ENSG00000152332,0.967,1.95729667725726e-50,ENSG00000152332_unmod
ENSG00000151893,0.82,4.7923737466119e-50,ENSG00000151893_unmod
ENSG00000105887,0.878,1.4268824218044798e-48,ENSG00000105887_unmod
ENSG00000051382,2.31,3.41018543495408e-48,ENSG00000051382_unmod
ENSG00000146066,1.43,5.79431378961053e-48,ENSG00000146066_unmod
ENSG00000152291,-0.989,1.2670807774834e-47,ENSG00000152291_unmod
ENSG00000143514,-1.213,2.1297143686146e-47,ENSG00000143514_unmod
ENSG00000116133,1.411,3.6301358665905604e-47,ENSG00000116133_unmod
ENSG00000139921,1.195,6.325072271802731e-47,ENSG00000139921_unmod
ENSG00000165244,-1.554,1.300707523137e-46,ENSG00000165244_unmod
ENSG00000170540,-0.851,2.4243954535115602e-46,ENSG00000170540_unmod
ENSG00000083642,-0.984,8.23162279308422e-45,ENSG00000083642_unmod
ENSG00000110395,0.996,1.40231251472277e-43,ENSG00000110395_unmod
ENSG00000111145,-0.972,1.49857609424603e-43,ENSG00000111145_unmod
ENSG00000163539,1.07,8.27319080994572e-43,ENSG00000163539_unmod
ENSG00000137822,1.072,1.71224584718282e-42,ENSG00000137822_unmod
ENSG00000164930,1.521,1.51284419851468e-41,ENSG00000164930_unmod
ENSG00000124783,0.694,1.7519795164820199e-41,ENSG00000124783_unmod
ENSG00000169429,-1.235,2.12753841442217e-41,ENSG00000169429_unmod
ENSG00000111652,1.171,4.96326244344224e-41,ENSG00000111652_unmod
ENSG00000131747,-1.105,5.32979883917549e-41,ENSG00000131747_unmod
ENSG00000168807,1.296,6.59871198711038e-41,ENSG00000168807_unmod
ENSG00000261609,1.201,7.842077031333499e-41,ENSG00000261609_unmod
ENSG00000152661,0.948,1.09182053472345e-40,ENSG00000152661_unmod
ENSG00000112096,-0.923,2.5790066384972e-40,ENSG00000112096_unmod
ENSG00000137965,-1.158,2.5390894315563302e-39,ENSG00000137965_unmod
ENSG00000165156,-1.119,2.5390894315563302e-39,ENSG00000165156_unmod
ENSG00000162704,-1.214,2.74088202533525e-39,ENSG00000162704_unmod
ENSG00000183576,1.208,2.78785899473041e-39,ENSG00000183576_unmod
ENSG00000253719,1.171,3.25122720414265e-39,ENSG00000253719_unmod
ENSG00000104341,0.904,3.54036346719739e-39,ENSG00000104341_unmod
ENSG00000164164,1.014,7.894519827346161e-39,ENSG00000164164_unmod
ENSG00000163814,0.978,1.63742182037823e-38,ENSG00000163814_unmod
ENSG00000114166,-1.588,1.87145356270463e-38,ENSG00000114166_unmod
ENSG00000138756,1.074,2.61720402309022e-38,ENSG00000138756_unmod
ENSG00000011405,0.749,1.66234169044104e-37,ENSG00000011405_unmod
ENSG00000135048,-0.926,1.66234169044104e-37,ENSG00000135048_unmod
ENSG00000103257,0.711,3.57720574165195e-37,ENSG00000103257_unmod
ENSG00000272886,0.934,2.4990618538595297e-36,ENSG00000272886_unmod
ENSG00000162433,0.957,7.37069823538549e-36,ENSG00000162433_unmod
ENSG00000159873,-0.922,1.5875064720486202e-35,ENSG00000159873_unmod
ENSG00000136999,1.155,2.15148692606867e-35,ENSG00000136999_unmod
ENSG00000198862,0.948,5.0972500196137e-35,ENSG00000198862_unmod
ENSG00000177888,1.033,1.02309967970071e-34,ENSG00000177888_unmod
ENSG00000004455,0.683,1.09088571947715e-34,ENSG00000004455_unmod
ENSG00000052723,1.047,2.3307919815142498e-34,ENSG00000052723_unmod
ENSG00000163428,0.729,6.1527576598887694e-34,ENSG00000163428_unmod
ENSG00000164818,1.18,1.53772871313024e-33,ENSG00000164818_unmod
ENSG00000101974,-0.958,2.81042939970565e-33,ENSG00000101974_unmod
ENSG00000127463,0.871,7.840748357161919e-33,ENSG00000127463_unmod
ENSG00000183291,1.009,8.87321581458278e-33,ENSG00000183291_unmod
ENSG00000135052,1.004,1.05411542311044e-32,ENSG00000135052_unmod
ENSG00000172572,-0.564,2.95446250866527e-32,ENSG00000172572_unmod
ENSG00000165434,-0.977,3.72748244004084e-32,ENSG00000165434_unmod
ENSG00000163811,0.901,4.12377164408199e-32,ENSG00000163811_unmod
ENSG00000134108,0.928,4.4917622244975e-32,ENSG00000134108_unmod
ENSG00000146072,0.926,5.6951216478135e-32,ENSG00000146072_unmod
ENSG00000116120,0.872,6.07006696806478e-32,ENSG00000116120_unmod
ENSG00000172954,0.815,6.56652492047821e-32,ENSG00000172954_unmod
ENSG00000179295,0.746,4.346742110761081e-31,ENSG00000179295_unmod
ENSG00000069956,0.805,4.616285067342991e-31,ENSG00000069956_unmod
ENSG00000211455,-0.88,7.14031105807533e-31,ENSG00000211455_unmod
ENSG00000114978,0.778,1.28902502076193e-30,ENSG00000114978_unmod
ENSG00000118900,-0.946,2.4862357514729898e-30,ENSG00000118900_unmod
ENSG00000070614,0.888,2.5816090433160596e-30,ENSG00000070614_unmod
ENSG00000197712,-1.149,3.16281779541125e-30,ENSG00000197712_unmod
ENSG00000092470,-0.816,3.2960080975029396e-30,ENSG00000092470_unmod
ENSG00000086712,0.998,4.00556855369386e-30,ENSG00000086712_unmod
ENSG00000058804,0.643,1.05939290966783e-29,ENSG00000058804_unmod
ENSG00000165476,-0.769,1.27901489483413e-29,ENSG00000165476_unmod
ENSG00000161057,1.007,1.34732783918967e-29,ENSG00000161057_unmod
ENSG00000132002,-0.593,1.59977826091805e-29,ENSG00000132002_unmod
ENSG00000102189,-0.917,2.42975679046497e-29,ENSG00000102189_unmod
ENSG00000247556,-0.719,1.11630702599094e-28,ENSG00000247556_unmod
ENSG00000115977,-0.846,1.21470825036942e-28,ENSG00000115977_unmod
ENSG00000144810,-1.171,3.26235587772925e-28,ENSG00000144810_unmod
