comp_name,log2FC
ENSG00000000003_unmod,-0.2557
ENSG00000000419_unmod,0.2017
ENSG00000000457_unmod,0.4518
ENSG00000000460_unmod,0.0926
ENSG00000000971_unmod,0.4337
ENSG00000001036_unmod,0.0301
ENSG00000001084_unmod,0.0606
ENSG00000001167_unmod,0.3662
ENSG00000001460_unmod,0.1441
ENSG00000001461_unmod,-0.7095
ENSG00000001497_unmod,-0.1232
ENSG00000001617_unmod,0.2273
ENSG00000001629_unmod,0.1826
ENSG00000001631_unmod,0.1752
ENSG00000002016_unmod,0.1238
ENSG00000002330_unmod,0.2727
ENSG00000002549_unmod,0.0093
ENSG00000002586_unmod,0.1117
ENSG00000002746_unmod,-0.0081
ENSG00000002834_unmod,-0.0881
ENSG00000002919_unmod,-0.2988
ENSG00000003056_unmod,0.4564
ENSG00000003096_unmod,-0.3336
ENSG00000003137_unmod,0.6146
ENSG00000003249_unmod,0.0574
ENSG00000003393_unmod,0.1662
ENSG00000003400_unmod,0.2976
ENSG00000003402_unmod,0.1228
ENSG00000003436_unmod,0.4039
ENSG00000003509_unmod,0.0483
ENSG00000003756_unmod,0.1451
ENSG00000003989_unmod,-0.3661
ENSG00000004059_unmod,0.1099
ENSG00000004139_unmod,0.0051
ENSG00000004142_unmod,0.014
ENSG00000004399_unmod,-0.1483
ENSG00000004455_unmod,-0.649
ENSG00000004478_unmod,-0.0999
ENSG00000004487_unmod,-0.1666
ENSG00000004534_unmod,0.2778
ENSG00000004660_unmod,0.1615
ENSG00000004700_unmod,0.7527
ENSG00000004766_unmod,0.1352
ENSG00000004777_unmod,0.857
ENSG00000004779_unmod,0.1858
ENSG00000004799_unmod,-0.1693
ENSG00000004864_unmod,-0.1471
ENSG00000004866_unmod,-0.39
ENSG00000004897_unmod,0.0027
ENSG00000004961_unmod,-0.1221
ENSG00000004975_unmod,0.1536
ENSG00000005007_unmod,0.0173
ENSG00000005020_unmod,0.3872
ENSG00000005022_unmod,0.0383
ENSG00000005059_unmod,0.1829
ENSG00000005073_unmod,-0.1007
ENSG00000005075_unmod,0.0969
ENSG00000005100_unmod,-0.2748
ENSG00000005102_unmod,0.1279
ENSG00000005156_unmod,-0.2259
ENSG00000005175_unmod,-0.4354
ENSG00000005189_unmod,0.7633
ENSG00000005194_unmod,-0.1191
ENSG00000005206_unmod,0.0297
ENSG00000005238_unmod,0.1844
ENSG00000005243_unmod,0.5894
ENSG00000005302_unmod,0.6392
ENSG00000005339_unmod,0.2292
ENSG00000005436_unmod,0.2151
ENSG00000005448_unmod,0.1067
ENSG00000005469_unmod,-0.1848
ENSG00000005483_unmod,-0.1899
ENSG00000005486_unmod,0.0388
ENSG00000005700_unmod,0.2571
ENSG00000005801_unmod,-0.3136
ENSG00000005810_unmod,-0.1575
ENSG00000005812_unmod,0.2455
ENSG00000005882_unmod,0.0318
ENSG00000005884_unmod,0.1736
ENSG00000005889_unmod,0.0024
ENSG00000005893_unmod,-0.1181
ENSG00000006007_unmod,-0.1029
ENSG00000006015_unmod,-0.1187
ENSG00000006016_unmod,0.6175
ENSG00000006025_unmod,0.2816
ENSG00000006062_unmod,-0.2083
ENSG00000006071_unmod,0.5526
ENSG00000006118_unmod,0.3511
ENSG00000006125_unmod,0.0093
ENSG00000006194_unmod,-0.4246
ENSG00000006282_unmod,-0.0436
ENSG00000006283_unmod,0.7493
ENSG00000006327_unmod,0.0184
ENSG00000006432_unmod,-0.2512
ENSG00000006451_unmod,0.3363
ENSG00000006453_unmod,0.3496
ENSG00000006459_unmod,0.009
ENSG00000006468_unmod,-0.0009
ENSG00000006530_unmod,-0.5226
ENSG00000006534_unmod,-0.0486
ENSG00000006576_unmod,0.0131
ENSG00000006607_unmod,-0.0418
ENSG00000006625_unmod,0.4075
ENSG00000006634_unmod,0.1272
ENSG00000006638_unmod,0.2781
ENSG00000006652_unmod,-0.1577
ENSG00000006695_unmod,-0.2083
ENSG00000006704_unmod,0.0523
ENSG00000006712_unmod,0.0226
ENSG00000006715_unmod,0.192
ENSG00000006740_unmod,0.021
ENSG00000006744_unmod,-0.0723
ENSG00000006757_unmod,-0.3913
ENSG00000006831_unmod,0.1153
ENSG00000007038_unmod,0.0042
ENSG00000007047_unmod,0.5035
ENSG00000007080_unmod,0.3705
ENSG00000007168_unmod,0.1918
ENSG00000007202_unmod,-0.1303
ENSG00000007237_unmod,-0.174
ENSG00000007341_unmod,-0.1537
ENSG00000007372_unmod,0.4583
ENSG00000007376_unmod,-0.4117
ENSG00000007384_unmod,0.5196
ENSG00000007392_unmod,-0.0266
ENSG00000007520_unmod,-0.0803
ENSG00000007541_unmod,0.1096
ENSG00000007545_unmod,0.305
ENSG00000007866_unmod,0.0646
ENSG00000007923_unmod,-0.2484
ENSG00000007944_unmod,0.024
ENSG00000007968_unmod,1.1598
ENSG00000008018_unmod,0.0648
ENSG00000008083_unmod,-0.0818
ENSG00000008086_unmod,0.3407
ENSG00000008130_unmod,0.2666
ENSG00000008256_unmod,-0.3412
ENSG00000008277_unmod,0.1158
ENSG00000008282_unmod,-0.1104
ENSG00000008283_unmod,0.1325
ENSG00000008294_unmod,0.2515
ENSG00000008300_unmod,-0.3711
ENSG00000008311_unmod,-0.2239
ENSG00000008324_unmod,0.0448
ENSG00000008394_unmod,-0.2105
ENSG00000008405_unmod,0.0531
ENSG00000008441_unmod,-0.0322
ENSG00000008513_unmod,0.101
ENSG00000008517_unmod,0.0697
ENSG00000008710_unmod,0.1739
ENSG00000008735_unmod,0.5789
ENSG00000008838_unmod,-0.0497
ENSG00000008853_unmod,-0.0131
ENSG00000008869_unmod,0.2138
ENSG00000008952_unmod,-0.3742
ENSG00000008988_unmod,-0.0448
ENSG00000009307_unmod,0.0317
ENSG00000009335_unmod,0.5718
ENSG00000009413_unmod,0.1117
ENSG00000009780_unmod,0.1065
ENSG00000009830_unmod,-0.0295
ENSG00000009844_unmod,-0.3769
ENSG00000009950_unmod,0.1577
ENSG00000009954_unmod,0.2486
ENSG00000010017_unmod,-0.0606
ENSG00000010072_unmod,-0.2006
ENSG00000010165_unmod,0.3199
ENSG00000010219_unmod,-0.0712
ENSG00000010244_unmod,-0.1213
ENSG00000010256_unmod,0.2311
ENSG00000010270_unmod,0.5849
ENSG00000010278_unmod,0.0731
ENSG00000010292_unmod,0.237
ENSG00000010322_unmod,-0.2508
ENSG00000010361_unmod,0.0337
ENSG00000010404_unmod,0.0524
ENSG00000010539_unmod,-0.1233
ENSG00000010704_unmod,0.4009
ENSG00000010803_unmod,0.1769
ENSG00000010810_unmod,-0.6621
ENSG00000010818_unmod,0.2639
ENSG00000011007_unmod,-0.1631
ENSG00000011009_unmod,0.1785
ENSG00000011021_unmod,-0.2679
ENSG00000011028_unmod,0.3149
ENSG00000011105_unmod,0.1357
ENSG00000011114_unmod,-0.0808
ENSG00000011132_unmod,0.0493
ENSG00000011143_unmod,-0.0121
ENSG00000011198_unmod,-0.0892
ENSG00000011201_unmod,0.0251
ENSG00000011243_unmod,-0.0346
ENSG00000011258_unmod,-0.3026
ENSG00000011260_unmod,-0.5534
ENSG00000011275_unmod,-0.0309
ENSG00000011295_unmod,0.1162
ENSG00000011304_unmod,0.0628
ENSG00000011376_unmod,-0.315
ENSG00000011405_unmod,-0.7147
ENSG00000011422_unmod,0.5059
ENSG00000011426_unmod,0.3628
ENSG00000011451_unmod,-0.1236
