	MR10_unmod_1	MR11_unmod_2	MR12_unmod_3	MR1_NT_1	MR2_NT_2	MR3_NT_3	MR4_Amide3_1	MR5_Amide3_2	MR6_Amide3_3	MR7_GNA7_1	MR8_GNA7_2	MR9_GNA7_3
ENSG00000000003	419	212	335	355	314	547	417	393	416	613	478	329
ENSG00000000005	3	0	2	4	5	1	2	3	1	0	0	0
ENSG00000000419	550	365	569	423	325	655	515	570	603	861	675	491
ENSG00000000457	216	127	155	128	107	150	149	133	131	235	187	123
ENSG00000000460	550	304	486	422	394	482	475	440	506	712	554	414
ENSG00000000938	5	6	3	3	8	3	10	3	8	4	2	2
ENSG00000000971	844	429	677	458	397	662	674	698	691	929	703	565
ENSG00000001036	1117	557	993	888	625	1248	1092	986	1097	1608	1258	968
ENSG00000001084	1659	836	1371	1177	1040	1658	1278	1177	1358	2207	1880	1366
ENSG00000001167	493	230	393	286	204	425	389	403	408	539	468	343
ENSG00000001460	167	83	152	109	117	146	123	139	126	195	143	124
ENSG00000001461	200	109	188	267	218	372	280	291	304	483	295	262
ENSG00000001497	823	456	722	752	579	972	875	880	924	1287	955	737
ENSG00000001561	5	4	1	4	5	4	5	7	5	3	4	4
ENSG00000001617	3889	2174	3693	2883	2306	3547	3255	3096	3372	4773	3697	2875
ENSG00000001626	19	23	2	15	15	18	25	22	16	6	7	6
ENSG00000001629	2188	1203	1884	1510	1331	2043	2004	1873	2027	2738	2141	1727
ENSG00000001630	14	7	15	24	12	21	15	19	18	27	19	15
ENSG00000001631	124	74	118	92	91	107	115	115	107	147	126	89
ENSG00000002016	111	72	117	100	74	119	90	99	120	160	116	125
ENSG00000002079	23	15	5	15	19	17	19	31	14	3	5	6
ENSG00000002330	202	108	211	154	92	215	197	199	189	294	210	164
ENSG00000002549	608	339	560	560	367	658	559	525	590	798	610	414
ENSG00000002586	1162	676	1138	940	759	1205	1194	1043	1198	1549	1303	1033
ENSG00000002587	21	15	13	13	14	9	13	6	8	11	9	8
ENSG00000002726	45	28	25	32	32	46	51	41	44	41	24	26
ENSG00000002745	4	2	2	5	7	4	6	6	2	2	2	1
ENSG00000002746	49	35	41	41	44	48	63	50	51	57	54	61
ENSG00000002822	24	28	26	21	19	31	19	17	22	16	25	19
ENSG00000002834	5029	2758	4571	4386	3813	5509	4545	4544	4862	6296	4913	3858
ENSG00000002919	281	126	245	282	195	356	266	296	302	406	302	236
ENSG00000002933	17	13	26	24	17	28	21	24	34	35	32	12
ENSG00000003056	1843	977	1673	1101	877	1461	1312	1178	1318	2592	2057	1462
ENSG00000003096	520	295	470	555	405	769	613	631	658	861	639	511
ENSG00000003137	343	165	319	191	130	244	189	165	231	298	278	209
ENSG00000003147	30	25	35	19	25	21	30	25	28	25	25	27
ENSG00000003249	161	71	126	124	93	135	130	146	135	204	157	109
ENSG00000003393	615	297	551	462	329	567	463	470	513	678	578	395
ENSG00000003400	167	91	124	109	87	131	123	118	118	140	142	132
ENSG00000003402	1007	529	894	738	664	909	871	870	978	1235	1082	786
ENSG00000003436	3979	2288	3648	2438	2305	3073	4002	3992	4278	5864	4827	3838
ENSG00000003509	135	88	118	117	87	152	113	116	128	190	164	101
ENSG00000003756	1142	565	1000	841	612	1117	1028	1014	1143	1404	1294	900
ENSG00000003987	34	25	39	18	24	26	32	20	24	16	23	36
ENSG00000003989	1946	1048	1801	2100	1750	2592	2798	2673	2998	3294	2781	2222
ENSG00000004059	754	451	714	676	464	740	737	687	855	1158	812	651
ENSG00000004139	176	128	180	158	143	219	185	188	224	255	204	131
ENSG00000004142	2291	1189	2024	1855	1445	2417	2223	2027	2334	3255	2549	1905
ENSG00000004399	2021	976	1819	1818	1386	2353	2152	1995	2309	2620	2163	1646
ENSG00000004455	2933	1524	2577	3672	3128	4685	4060	3950	4472	5581	4448	3348
ENSG00000004468	11	12	3	4	8	9	5	15	12	5	2	5
ENSG00000004478	3782	1971	3474	3395	2391	4690	4256	4086	4390	5852	4538	3254
ENSG00000004487	1757	980	1569	1606	1282	2238	1824	1878	1949	2605	2069	1535
ENSG00000004534	1058	546	880	720	491	963	829	946	902	1216	1025	833
ENSG00000004660	417	210	332	299	198	416	308	382	364	539	431	330
ENSG00000004700	1280	715	1161	624	486	881	953	945	1095	1530	1272	915
ENSG00000004766	438	253	362	340	264	410	426	428	432	568	439	381
ENSG00000004776	3	6	6	13	7	4	7	6	9	12	7	7
ENSG00000004777	139	70	135	58	55	84	82	69	97	106	122	82
ENSG00000004779	455	238	447	336	225	510	462	440	467	674	525	374
ENSG00000004799	1361	814	1294	1260	1160	1688	1426	1292	1379	1977	1690	1466
