path	kind	cells	tags	needs	serve	imports
.ipynb_checkpoints/RNASeq-checkpoint.ipynb	checkpoint	22	rnaseq,alignment		archive_only	datashader,matplotlib,numpy,pandas,plotly,requests
.ipynb_checkpoints/RNASeq2-checkpoint.ipynb	checkpoint	21	rnaseq,alignment		archive_only	datashader,matplotlib,numpy,pandas,plotly,requests
.ipynb_checkpoints/RNASeq3-checkpoint.ipynb	checkpoint	23	rnaseq,alignment,gpu_or_modeling	chai_lab,torch,Bio,selenium	archive_only	Bio,chai_lab,csv,multiprocessing,numpy,os,pandas,pathlib,re,requests,selenium,sys,time,torch
.ipynb_checkpoints/RNASeq4-checkpoint.ipynb	checkpoint	25	rnaseq,alignment,md,gpu_or_modeling	chai_lab,torch,Bio,matplotlib_venn	archive_only	Bio,chai_lab,csv,matplotlib,matplotlib_venn,numpy,os,pandas,pathlib,shutil,sys,time,torch
.ipynb_checkpoints/chai-checkpoint.ipynb	checkpoint	2	gpu_or_modeling	chai_lab,torch	archive_only	chai_lab,numpy,os,pathlib,torch
.ipynb_checkpoints/chai2-checkpoint.ipynb	checkpoint	7	alignment,gpu_or_modeling	chai_lab,torch	archive_only	chai_lab,numpy,os,pandas,pathlib,shutil,sys,torch
RESP/.ipynb_checkpoints/1-checkpoint.ipynb	checkpoint	0			archive_only	
RNASeq.ipynb	main	22	rnaseq,alignment		good_candidate_on_jetstream	datashader,matplotlib,numpy,pandas,plotly,requests
RNASeq2.ipynb	main	21	rnaseq,alignment		good_candidate_on_jetstream	datashader,matplotlib,numpy,pandas,plotly,requests
RNASeq3.ipynb	main	23	rnaseq,alignment,gpu_or_modeling	chai_lab,torch,Bio,selenium	cluster_gpu_only	Bio,chai_lab,csv,multiprocessing,numpy,os,pandas,pathlib,re,requests,selenium,sys,time,torch
RNASeq4.ipynb	main	25	rnaseq,alignment,md,gpu_or_modeling	chai_lab,torch,Bio,matplotlib_venn	cluster_gpu_only	Bio,chai_lab,csv,matplotlib,matplotlib_venn,numpy,os,pandas,pathlib,shutil,sys,time,torch
chai.ipynb	main	2	gpu_or_modeling	chai_lab,torch	cluster_gpu_only	chai_lab,numpy,os,pathlib,torch
chai2.ipynb	main	8	alignment,gpu_or_modeling	chai_lab,torch	cluster_gpu_only	chai_lab,numpy,os,pandas,pathlib,shutil,subprocess,sys,time,torch
test_alignment/.ipynb_checkpoints/a_modeling-checkpoint.ipynb	checkpoint	0			archive_only	
test_alignment/.ipynb_checkpoints/alignments-checkpoint.ipynb	checkpoint	23	rnaseq,alignment,md,gpu_or_modeling	pymol	archive_only	argparse,matplotlib,numpy,os,pymol,random,shutil,subprocess,sys,time
test_alignment/.ipynb_checkpoints/alignments2-checkpoint.ipynb	checkpoint	27	rnaseq,alignment,md,gpu_or_modeling	pymol	archive_only	csv,matplotlib,numpy,os,pymol,random
test_alignment/.ipynb_checkpoints/alignments3-checkpoint.ipynb	checkpoint	12	rnaseq,alignment,md,gpu_or_modeling	pymol	archive_only	csv,os,pandas,pymol,shutil,subprocess,time
test_alignment/a_modeling.ipynb	main	2	alignment,md,gpu_or_modeling	pymol	cluster_or_special_env	matplotlib,os,pymol
test_alignment/alignments.ipynb	main	23	rnaseq,alignment,md,gpu_or_modeling	pymol	cluster_or_special_env	argparse,matplotlib,numpy,os,pymol,random,shutil,subprocess,sys,time
test_alignment/alignments2.ipynb	main	26	rnaseq,alignment,md,gpu_or_modeling	pymol	cluster_or_special_env	csv,matplotlib,numpy,os,pymol,random
test_alignment/alignments3.ipynb	main	12	rnaseq,alignment,md,gpu_or_modeling	pymol	cluster_or_special_env	csv,os,pandas,pymol,shutil,subprocess,time
test_alignment/md/working_folder_amide/.ipynb_checkpoints/amide-checkpoint.ipynb	checkpoint	7	rnaseq,md,gpu_or_modeling	pymol	archive_only	numpy,os,pymol,re,shutil,subprocess,sys,time
test_alignment/md/working_folder_amide/amide.ipynb	main	6	rnaseq,md,gpu_or_modeling	pymol	cluster_or_special_env	numpy,os,pymol,re,shutil,subprocess,sys,time
test_alignment/md/working_folder_amide2/.ipynb_checkpoints/amide2-checkpoint.ipynb	checkpoint	3	rnaseq,md,gpu_or_modeling		archive_only	os,re,shutil,subprocess,sys,time
test_alignment/md/working_folder_amide2/amide2.ipynb	main	3	rnaseq,md,gpu_or_modeling		data_only_on_jetstream	os,re,shutil,subprocess,sys,time
test_alignment/md/working_folder_amide3/.ipynb_checkpoints/amide3-checkpoint.ipynb	checkpoint	2	rnaseq,md,gpu_or_modeling		archive_only	os,re,shutil,subprocess,sys,time
test_alignment/md/working_folder_amide3/amide3.ipynb	main	2	rnaseq,md,gpu_or_modeling		data_only_on_jetstream	os,re,shutil,subprocess,sys,time
test_alignment/md/working_folder_amide4/.ipynb_checkpoints/amide4-checkpoint.ipynb	checkpoint	1	rnaseq,md,gpu_or_modeling		archive_only	os,re,shutil,subprocess,sys,time
test_alignment/md/working_folder_amide4/amide4.ipynb	main	2	rnaseq,md,gpu_or_modeling		data_only_on_jetstream	os,re,shutil,subprocess,sys,time
test_alignment/md/working_folder_gna/.ipynb_checkpoints/gna-checkpoint.ipynb	checkpoint	3	rnaseq,md		archive_only	os,re,shutil,subprocess,time
test_alignment/md/working_folder_gna/.ipynb_checkpoints/working-checkpoint.ipynb	checkpoint	2	rnaseq,md		archive_only	os,re,shutil,subprocess,time
test_alignment/md/working_folder_gna/gna.ipynb	main	3	rnaseq,md		data_only_on_jetstream	os,re,shutil,subprocess,time
test_alignment/md/working_folder_gna/working.ipynb	main	2	rnaseq,md		data_only_on_jetstream	os,re,shutil,subprocess,time
test_alignment/md/working_folder_gna2/.ipynb_checkpoints/gna2-checkpoint.ipynb	checkpoint	1	rnaseq,md		archive_only	os,re,shutil,subprocess,time
test_alignment/md/working_folder_gna2/gna2.ipynb	main	2	rnaseq,md		data_only_on_jetstream	os,re,shutil,subprocess,time
test_alignment/md/working_folder_unmod/.ipynb_checkpoints/unmod-checkpoint.ipynb	checkpoint	4	rnaseq,md		archive_only	os,re,shutil,subprocess,time
test_alignment/md/working_folder_unmod/unmod.ipynb	main	4	rnaseq,md		data_only_on_jetstream	os,re,shutil,subprocess,time
test_alignment/md0/.ipynb_checkpoints/Untitled-checkpoint.ipynb	checkpoint	8	rnaseq,alignment		archive_only	matplotlib,numpy,pandas
test_alignment/md0/.ipynb_checkpoints/features-checkpoint.ipynb	checkpoint	22	rnaseq,alignment,md	pymol,rdkit	archive_only	csv,matplotlib,numpy,pandas,pymol,rdkit
test_alignment/md0/.ipynb_checkpoints/features2-checkpoint.ipynb	checkpoint	12	rnaseq,alignment		archive_only	collections,itertools,pandas
test_alignment/md0/.ipynb_checkpoints/reproducible-checkpoint.ipynb	checkpoint	36	rnaseq,alignment,md,gpu_or_modeling	pymol	archive_only	gc,numpy,os,pandas,pymol,shutil,subprocess
test_alignment/md0/.ipynb_checkpoints/reproducible2-checkpoint.ipynb	checkpoint	19	rnaseq,alignment,md,gpu_or_modeling	pymol	archive_only	csv,matplotlib,numpy,os,pandas,pymol,shutil,subprocess,time
test_alignment/md0/Untitled.ipynb	main	8	rnaseq,alignment		good_candidate_on_jetstream	matplotlib,numpy,pandas
test_alignment/md0/features.ipynb	main	22	rnaseq,alignment,md	pymol,rdkit	cluster_or_special_env	csv,matplotlib,numpy,pandas,pymol,rdkit
test_alignment/md0/features2.ipynb	main	13	rnaseq,alignment		good_candidate_on_jetstream	collections,itertools,pandas
test_alignment/md0/reproducible.ipynb	main	36	rnaseq,alignment,md,gpu_or_modeling	pymol	cluster_or_special_env	gc,numpy,os,pandas,pymol,shutil,subprocess
test_alignment/md0/reproducible2.ipynb	main	19	rnaseq,alignment,md,gpu_or_modeling	pymol	cluster_or_special_env	csv,matplotlib,numpy,os,pandas,pymol,shutil,subprocess,time
test_alignment/md0/temp/.ipynb_checkpoints/1-checkpoint.ipynb	checkpoint	8	rnaseq,alignment,md	pymol2	archive_only	glob,matplotlib,pandas,pymol2,scipy
test_alignment/md0/temp/1.ipynb	main	8	rnaseq,alignment,md	pymol2	cluster_or_special_env	glob,matplotlib,pandas,pymol2,scipy
test_alignment/md1/.ipynb_checkpoints/md1-checkpoint.ipynb	checkpoint	0			archive_only	
test_alignment/md1/.ipynb_checkpoints/reproducible2-checkpoint.ipynb	checkpoint	2	md		archive_only	os,subprocess,time
test_alignment/md1/.ipynb_checkpoints/reproducible_md1-checkpoint.ipynb	checkpoint	15	md,gpu_or_modeling	pymol	archive_only	numpy,os,pymol,shutil,subprocess,time
test_alignment/md2/.ipynb_checkpoints/amide-checkpoint.ipynb	checkpoint	2	rnaseq,md		archive_only	os,re,shutil,subprocess,time
test_alignment/md2/.ipynb_checkpoints/md2-checkpoint.ipynb	checkpoint	6	rnaseq,md,gpu_or_modeling		archive_only	os,re,shutil,subprocess,sys,time
test_alignment/md2/.ipynb_checkpoints/reproducible-checkpoint.ipynb	checkpoint	15	md,gpu_or_modeling	pymol	archive_only	matplotlib,numpy,os,pymol,shutil,subprocess,sys,time
test_alignment/md2/.ipynb_checkpoints/reproducible_md2-checkpoint.ipynb	checkpoint	14	md,gpu_or_modeling	pymol	archive_only	numpy,os,pymol,shutil,subprocess,time
test_alignment/md2/md2.ipynb	main	6	rnaseq,md,gpu_or_modeling		data_only_on_jetstream	os,re,shutil,subprocess,sys,time
test_alignment/md3/.ipynb_checkpoints/md3-checkpoint.ipynb	checkpoint	4	rnaseq,md,gpu_or_modeling		archive_only	os,re,shutil,subprocess,sys,time
test_alignment/md3/.ipynb_checkpoints/reproducible_md3-checkpoint.ipynb	checkpoint	15	rnaseq,md,gpu_or_modeling	pymol	archive_only	numpy,os,pymol,shutil,subprocess,time
test_alignment/md3/md3.ipynb	main	5	rnaseq,md,gpu_or_modeling		data_only_on_jetstream	os,re,shutil,subprocess,sys,time
test_alignment/md4/.ipynb_checkpoints/md4-checkpoint.ipynb	checkpoint	4	rnaseq,md,gpu_or_modeling		archive_only	os,re,shutil,subprocess,sys,time
test_alignment/md4/.ipynb_checkpoints/reproducible_md4-checkpoint.ipynb	checkpoint	14	md,gpu_or_modeling	pymol	archive_only	numpy,os,pymol,shutil,subprocess,time
test_alignment/md4/md4.ipynb	main	5	rnaseq,md,gpu_or_modeling		data_only_on_jetstream	os,re,shutil,subprocess,sys,time
test_alignment/md5/.ipynb_checkpoints/fix-checkpoint.ipynb	checkpoint	6	rnaseq,md,gpu_or_modeling		archive_only	os,re,shutil,subprocess,sys,time
test_alignment/md5/fix.ipynb	main	6	rnaseq,md,gpu_or_modeling		data_only_on_jetstream	os,re,shutil,subprocess,sys,time
