comp_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
ENSG00000111231,0.2245,0.4073,0.3062,0.5656,0.5384,0.5332,0.3752,0.3309,0.7342,0.6997,0.4088,0.5092,0.5991,0.3642,0.1735,0.5284,1.4816,1.3164,0.6344,0.8493,0.8692,0.3411,0.5708,0.7314,1.1192,0.4579,0.374,0.296,0.4,0.6539,0.4288,0.9113,0.4983,0.3513,0.5323,0.6902,0.765,0.2706,0.6351,0.8469,0.3709,0.3786
ENSG00000118508,0.2826,0.2621,0.6575,0.6549,0.4543,0.5136,0.3085,0.3265,0.4094,0.729,0.5753,0.6641,0.695,0.7677,0.4987,0.7094,0.2597,0.7169,0.237,0.5027,0.2377,0.5026,0.3816,0.4542,0.456,0.2413,0.6678,0.1965,0.328,0.5156,0.3241,0.4483,0.5083,0.3334,0.5125,0.73,0.3803,0.3419,0.1875,0.4637,0.3268,1.6425
ENSG00000111596,0.1606,0.3008,0.4049,0.6206,0.158,0.4956,0.4397,0.3215,0.7763,0.6094,0.526,0.5189,0.6981,0.932,0.6482,1.3549,1.1859,0.8421,0.4231,0.9738,0.6426,0.8322,0.6697,0.6683,0.518,0.466,0.6917,0.0959,0.5521,0.0822,0.3483,1.3958,0.7378,0.2687,0.2104,0.0855,0.1898,0.3549,0.5159,0.3581,0.3001,0.2651
ENSG00000138018,0.2487,0.1983,0.1906,0.7019,0.7535,0.5876,0.4983,0.1911,0.5479,0.5282,0.7838,0.8164,0.6133,0.7612,0.4758,0.7852,1.0039,0.4999,0.2141,0.6583,0.839,0.3525,0.2893,0.3218,0.9007,1.3405,0.9021,0.6649,1.2828,0.2653,0.7894,0.3624,0.2979,0.6915,0.2686,0.288,0.2591,0.8497,1.128,0.8125,0.4504,0.5827
ENSG00000275342,0.4378,0.1159,0.0927,0.4041,0.3461,0.5631,0.3948,0.3395,0.8071,0.5913,0.3829,0.6302,0.8552,0.3938,0.5626,0.7454,1.2551,1.0242,0.6841,0.6452,1.4218,0.5339,0.473,0.721,0.7759,0.5389,0.4146,0.4341,0.795,0.9061,0.2288,0.9701,0.3395,0.3978,0.4184,0.4183,0.4858,0.0665,0.4214,0.6412,0.2584,0.288
ENSG00000048342,0.2299,0.167,0.1175,0.656,0.414,0.3001,0.3839,0.6336,0.0559,0.5107,0.6267,1.0635,0.7594,0.7312,0.5169,0.3561,0.5264,1.0723,0.6121,0.7019,0.3711,0.5182,0.2401,0.523,0.4719,0.75,1.1769,0.3609,0.6102,0.2442,0.9381,0.473,0.4605,0.3804,0.3072,0.1985,0.1847,0.4308,0.6368,0.1239,0.7822,0.3344
ENSG00000163374,0.1802,0.14,0.2742,0.9344,0.5254,0.2966,0.2596,0.5615,0.1781,0.8285,0.7052,0.8041,0.5787,0.1014,0.2317,0.7968,0.1906,0.2386,0.5416,0.7727,0.5247,0.354,0.6048,0.1771,0.1554,0.551,0.3923,0.7338,0.3754,0.5282,0.3134,0.4129,0.384,0.8583,0.7891,0.5548,0.1717,0.2313,0.2542,0.8063,0.719,0.593
ENSG00000047230,0.5508,0.2139,0.3823,0.2315,0.5469,0.8469,0.8124,0.518,0.217,0.7641,0.6379,0.5143,0.3041,0.262,0.6945,1.026,0.9961,0.2815,0.2422,0.353,0.3396,0.658,0.481,0.4421,0.5899,0.6928,0.4882,0.5775,0.6795,0.6631,0.332,0.4563,0.7333,0.9788,0.6026,0.5078,0.9648,1.0084,0.7371,0.6036,0.3474,0.2406
ENSG00000177738,0.323,0.1668,0.2095,1.1091,0.4754,0.525,0.2646,0.3217,0.2656,0.3268,0.6716,1.1196,0.7092,0.5642,0.4154,0.2377,0.4652,1.1185,0.4336,0.7907,0.3803,0.4093,0.3973,0.5231,0.9762,0.8613,0.8339,0.9021,1.1418,0.9588,0.7374,0.556,0.5161,0.5999,0.4873,0.4927,0.4474,0.3987,0.2598,0.2825,0.5743,0.3139
ENSG00000113916,0.1232,0.2488,0.2134,0.6366,0.4408,0.221,0.3875,0.3316,1.0526,0.7228,0.2174,0.4935,0.5224,0.5412,0.3949,0.5332,1.5001,0.945,0.8541,0.5565,1.6637,0.4952,0.3352,0.2592,0.7431,0.6101,0.6965,0.3457,0.9258,0.4573,0.3122,0.3208,0.4383,0.3459,0.1578,0.1473,0.4351,0.6758,0.2994,0.3948,0.645,0.2086
